CampaignId,CampaignName,Date,Device,Cost,Impressions,Clicks,AllConversions,Conversions,CostPerAllConversion,Engagements,VideoQuartile100Rate,VideoQuartile75Rate,VideoQuartile50Rate,VideoQuartile25Rate,VideoViews
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-19,Computers,29678.88,2057,50,0.79,0.49,37749.21,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-08,Computers,15375,1984,38,0,0,0,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-21,Computers,66431.3,6101,78,0,0,0,1,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-13,Computers,8983,1305,27,0,0,0,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-05,Computers,6007,885,11,3,2,2002.33,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-18,Computers,103068,1289,15,4.71,3.12,21868.14,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-14,Computers,64747.63,4328,87,10.48,6.85,6180.21,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-22,Computers,64054.54,9276,118,5.42,3.61,11817.4,2,0,0,0,0,2
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-02,Computers,6982,1698,33,0,0,0,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-15,Computers,92589.16,5795,151,8.05,5.03,11496.71,1,0,0,0,0,1
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-17,Computers,98457.75,5120,61,0.15,0.1,653002.47,28,0,0,0,0,25
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-12,Computers,10310,954,18,0,0,0,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-07,Computers,11372.38,1307,30,5.27,3.5,2158.18,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-16,Computers,18037.96,1314,43,0,0,0,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-04,Computers,3573.18,1097,26,0.32,0.21,11279.86,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-11,Computers,20502.17,1480,29,0,0,0,0,0,0,0,0,0
17888570636,AK_COL_MAX_PEF_CPC_AON_TV_LG_Ene21_EXP_ENE,2023-02-01,Computers,9599.02,1505,31,0.43,0.29,22406.58,0,0,0,0,0,0
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-09,Computers,20767.69,3312,26,6.55,2.7,3169.89,1317,0,0,0,0,1141
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-06,Computers,22685.05,3523,13,22.71,11.71,999.08,1457,0,0,0,0,1246
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-20,Computers,51064.9,6104,33,12.09,7.5,4225.35,2436,0,0,0,0,2102
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-23,Computers,53428.3,5720,23,15,4,3561.89,2637,0,0,0,0,2244
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-03,Computers,27855.05,4089,25,28.36,16.48,982.15,2004,0,0,0,0,1738
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-10,Computers,20851.72,3438,40,10.94,4.91,1906.31,1293,0,0,0,0,1139
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-19,Computers,25196.56,3102,6,27.99,6.06,900.15,1323,0,0,0,0,1117
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-08,Computers,30587.15,3823,21,31.55,18.71,969.49,1749,0,0,0,0,1501
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-21,Computers,75221.21,7459,43,40.31,13.37,1865.94,3333,0,0,0,0,2870
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-13,Computers,32590.76,4323,31,13.7,6.57,2378.16,1670,0,0,0,0,1470
17940803726,AK_COL_MAX_PEF_CPC_EST_AU_LG_Ago22_EXP_AGO,2023-02-05,Computers,12815.94,2039,9,5.14,3.43,2491.42,903,0,0,0,0,787
